Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,ORB,DRB,TRB,AST,STL,BLK,testdata
Aleksej Pokusevski,4,21,OKC,3.2,7.3,0.434,1.1,3.1,0.365,2.1,4.3,0.483,1.3,3.4,4.7,1.9,0.6,1.3,0
Terry Taylor,4,23,TOT,1.3,2.4,0.52,0.2,0.6,0.263,1.1,1.8,0.607,0.9,0.6,1.5,0.3,0.1,0.2,0
Grant Williams,4,24,BOS,2.7,6.0,0.454,1.5,3.7,0.395,1.3,2.3,0.546,1.1,3.5,4.6,1.7,0.5,0.4,1
Robert Covington,4,32,LAC,2.1,4.8,0.445,1.1,2.8,0.397,1.0,1.9,0.516,0.6,2.8,3.5,1.2,0.8,0.7,0
Admiral Schofield,4,25,ORL,1.5,3.3,0.451,0.6,2.0,0.324,0.8,1.3,0.646,0.6,1.1,1.7,0.8,0.2,0.1,0
Kenrich Williams,4,28,OKC,3.4,6.5,0.517,0.9,2.5,0.373,2.4,4.0,0.608,1.8,3.1,4.9,2.0,0.8,0.3,0
David Roddy,4,21,MEM,2.6,6.0,0.429,0.9,3.0,0.307,1.6,3.0,0.553,0.7,2.0,2.8,0.8,0.4,0.3,0
Isaiah Roby,4,24,SAS,1.6,3.7,0.432,0.4,1.4,0.3,1.2,2.3,0.516,0.5,2.0,2.5,0.9,0.4,0.2,0
Jeremiah Robinson-Earl,4,22,OKC,2.6,5.8,0.444,0.9,2.6,0.333,1.7,3.2,0.533,1.7,2.5,4.2,1.0,0.6,0.3,0
Lamar Stevens,4,25,CLE,2.1,4.6,0.448,0.5,1.5,0.316,1.6,3.1,0.513,0.8,2.6,3.3,0.5,0.4,0.3,1
Patrick Williams,4,21,CHI,3.8,8.3,0.464,1.4,3.4,0.415,2.4,4.9,0.498,1.0,3.0,4.0,1.2,0.9,0.9,0
Thaddeus Young,4,34,TOR,2.0,3.7,0.545,0.1,0.6,0.176,1.9,3.0,0.622,1.3,1.8,3.1,1.4,1.0,0.1,0
Mamadi Diakite,4,26,CLE,1.1,2.3,0.48,0.3,1.0,0.333,0.8,1.3,0.586,0.4,1.0,1.4,0.4,0.2,0.4,1
Moussa Diabaté,4,21,LAC,1.1,2.1,0.511,0.0,0.1,0.5,1.0,2.0,0.511,1.4,0.9,2.3,0.2,0.3,0.4,1
Kyle Anderson,4,29,MIN,3.7,7.2,0.509,0.6,1.5,0.41,3.0,5.7,0.536,1.0,4.4,5.3,4.9,1.1,0.9,1
Michael Foster Jr.,4,20,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kevin Durant,4,34,TOT,10.3,18.3,0.56,2.0,4.9,0.404,8.3,13.4,0.617,0.4,6.3,6.7,5.0,0.7,1.4,0
Darius Days,4,23,HOU,1.3,3.0,0.417,0.8,2.5,0.3,0.5,0.5,1.0,0.3,1.3,1.5,0.3,0.0,0.3,0
Vlatko ?an?ar,4,25,DEN,1.8,3.8,0.476,0.7,1.9,0.374,1.1,1.9,0.58,0.4,1.7,2.1,1.3,0.4,0.2,0
Luka amani?,4,23,UTA,3.7,8.1,0.456,1.1,4.4,0.258,2.6,3.7,0.692,0.0,4.3,4.3,2.1,0.9,0.3,0
Julius Randle,4,28,NYK,8.5,18.6,0.459,2.8,8.3,0.343,5.7,10.3,0.553,1.8,8.1,10.0,4.1,0.6,0.3,0
Dario ari?,4,28,TOT,2.2,4.9,0.458,0.8,2.0,0.391,1.4,2.8,0.506,0.9,2.7,3.6,1.3,0.4,0.1,0
Jeremy Sochan,4,19,SAS,4.5,9.9,0.453,0.6,2.4,0.246,3.9,7.5,0.519,1.7,3.6,5.3,2.5,0.8,0.4,1
Giannis Antetokounmpo,4,28,MIL,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,2.2,9.6,11.8,5.7,0.8,0.8,1
Dorian Finney-Smith,4,29,TOT,3.0,7.6,0.391,1.7,5.1,0.337,1.2,2.5,0.503,1.7,3.1,4.8,1.5,0.8,0.5,1
Santi Aldama,4,22,MEM,3.2,6.8,0.47,1.2,3.5,0.353,2.0,3.4,0.591,1.1,3.7,4.8,1.3,0.6,0.6,0
Tari Eason,4,21,HOU,3.6,8.0,0.448,0.7,2.1,0.343,2.9,6.0,0.486,2.4,3.7,6.0,1.1,1.2,0.6,1
Jerami Grant,4,28,POR,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,0.8,3.7,4.5,2.4,0.8,0.8,1
Nathan Knight,4,25,MIN,1.2,2.1,0.568,0.2,0.6,0.364,1.0,1.6,0.644,0.6,0.9,1.5,0.3,0.3,0.2,0
Draymond Green,4,32,GSW,3.4,6.5,0.527,0.5,1.8,0.305,2.9,4.7,0.612,0.9,6.3,7.2,6.8,1.0,0.8,0
RaiQuan Gray,4,23,BRK,6.0,12.0,0.5,2.0,5.0,0.4,4.0,7.0,0.571,3.0,6.0,9.0,7.0,0.0,1.0,1
Scottie Barnes,4,21,TOR,6.0,13.2,0.456,0.8,2.9,0.281,5.2,10.3,0.505,2.3,4.3,6.6,4.8,1.1,0.8,0
James Johnson,4,35,IND,1.2,2.7,0.449,0.2,0.8,0.2,1.1,1.9,0.559,0.2,1.4,1.7,0.8,0.4,0.3,1
Xavier Tillman Sr.,4,24,MEM,3.1,5.0,0.614,0.1,0.2,0.267,3.0,4.8,0.632,2.0,3.0,5.0,1.6,1.0,0.5,0
Dean Wade,4,26,CLE,1.7,4.0,0.412,1.0,2.9,0.354,0.6,1.1,0.56,0.5,3.0,3.4,0.8,0.6,0.5,0
Zion Williamson,4,22,NOP,9.8,16.2,0.608,0.2,0.7,0.368,9.6,15.5,0.618,2.0,5.0,7.0,4.6,1.1,0.6,0
Nikola Jovi?,4,19,MIA,1.9,4.6,0.406,0.5,2.3,0.229,1.3,2.3,0.588,0.6,1.5,2.1,0.7,0.5,0.1,0
Mfiondu Kabengele,4,25,BOS,0.5,1.8,0.286,0.0,0.8,0.0,0.5,1.0,0.5,1.3,1.3,2.5,0.0,0.5,0.0,0
Caleb Martin,4,27,MIA,3.6,7.7,0.464,1.2,3.3,0.356,2.4,4.4,0.545,1.2,3.6,4.8,1.6,1.0,0.4,0
Isaiah Todd,4,21,WAS,0.5,3.2,0.158,0.2,1.7,0.1,0.3,1.5,0.222,0.3,1.7,2.0,0.7,0.2,0.0,0
Kevin Knox,4,23,TOT,2.4,5.3,0.458,1.0,3.0,0.349,1.4,2.3,0.596,0.5,2.3,2.8,0.5,0.4,0.2,0
Obi Toppin,4,24,NYK,2.8,6.3,0.446,1.3,3.7,0.344,1.5,2.6,0.593,0.4,2.4,2.8,1.0,0.3,0.2,0
Nicolas Batum,4,34,LAC,2.1,4.9,0.42,1.6,4.1,0.391,0.5,0.8,0.563,0.8,3.0,3.8,1.6,0.7,0.6,0
Trey Lyles,4,27,SAC,2.5,5.5,0.458,1.2,3.2,0.363,1.4,2.3,0.595,0.9,3.1,4.1,0.9,0.4,0.4,1
Darius Bazley,4,22,TOT,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3.0,0.485,0.8,2.4,3.2,0.9,0.5,0.8,0
