Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,ORB,DRB,TRB,AST,STL,BLK,testdata
Serge Ibaka,5,33,MIL,1.6,3.4,0.481,0.4,1.1,0.333,1.3,2.3,0.556,0.9,1.8,2.8,0.3,0.1,0.4,1
Isaiah Jackson,5,21,IND,2.8,5.0,0.563,0.0,0.2,0.143,2.8,4.8,0.582,1.8,2.7,4.5,0.8,0.5,1.5,0
Jusuf Nurki?,5,28,POR,5.0,9.7,0.519,0.8,2.3,0.361,4.2,7.4,0.567,2.2,6.9,9.1,2.9,0.8,0.8,0
Onyeka Okongwu,5,22,ATL,4.0,6.2,0.638,0.1,0.2,0.308,3.9,6.1,0.647,2.7,4.5,7.2,1.0,0.7,1.3,0
Kelly Olynyk,5,31,UTA,4.1,8.2,0.499,1.4,3.5,0.394,2.7,4.7,0.576,1.2,5.0,6.2,3.7,0.9,0.5,0
Mason Plumlee,5,32,TOT,4.2,6.1,0.68,0.0,0.0,0.0,4.2,6.1,0.68,2.9,6.0,8.9,3.1,0.6,0.6,0
Jakob Poeltl,5,27,TOT,5.4,8.6,0.629,0.0,0.0,0.0,5.4,8.6,0.63,3.3,5.8,9.1,2.7,0.9,1.2,0
Kristaps Porzi??is,5,27,WAS,7.8,15.7,0.498,2.1,5.5,0.385,5.7,10.2,0.559,1.8,6.6,8.4,2.7,0.9,1.5,0
Dwight Powell,5,31,DAL,2.6,3.5,0.732,0.0,0.1,0.0,2.6,3.5,0.746,2.0,2.2,4.1,0.9,0.6,0.3,0
Neemias Queta,5,23,SAC,1.2,1.8,0.667,0.0,0.0,0.0,1.2,1.8,0.667,1.0,1.2,2.2,0.2,0.0,0.4,0
Nerlens Noel,5,28,TOT,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2.0,0.353,0.6,2.1,2.7,0.6,0.9,0.6,0
Paul Reed,5,23,PHI,1.8,3.0,0.593,0.0,0.1,0.167,1.8,2.9,0.606,1.6,2.2,3.8,0.4,0.7,0.7,0
Nick Richards,5,25,CHO,3.0,4.8,0.629,0.0,0.0,1.0,3.0,4.8,0.628,2.3,4.1,6.4,0.6,0.2,1.1,0
Mitchell Robinson,5,24,NYK,3.2,4.7,0.671,0.0,0.0,0.0,3.2,4.7,0.671,4.5,4.9,9.4,0.9,0.9,1.8,0
Orlando Robinson,5,22,MIA,1.5,2.9,0.528,0.0,0.2,0.0,1.5,2.7,0.566,1.5,2.5,4.1,0.8,0.4,0.4,0
Domantas Sabonis,5,26,SAC,7.3,11.9,0.615,0.4,1.1,0.373,6.9,10.8,0.639,3.2,9.1,12.3,7.3,0.8,0.5,0
Olivier Sarr,5,23,OKC,1.7,3.3,0.5,0.1,0.9,0.125,1.6,2.4,0.636,1.3,2.1,3.4,0.4,0.1,0.6,0
Alperen Þengün,5,20,HOU,5.9,10.7,0.553,0.3,0.8,0.333,5.6,9.9,0.57,3.2,5.8,9.0,3.9,0.9,0.9,0
Day'Ron Sharpe,5,21,BRK,1.9,3.6,0.544,0.1,0.2,0.545,1.8,3.3,0.544,2.1,2.1,4.2,0.8,0.3,0.7,1
Pascal Siakam,5,28,TOR,8.9,18.5,0.48,1.3,4.0,0.324,7.6,14.5,0.523,1.8,6.0,7.8,5.8,0.9,0.5,0
Naz Reid,5,23,MIN,4.6,8.5,0.537,1.1,3.2,0.346,3.5,5.3,0.653,1.1,3.8,4.9,1.1,0.6,0.8,0
Mike Muscala,5,31,TOT,2.1,4.6,0.449,1.3,3.3,0.391,0.8,1.3,0.588,0.6,2.6,3.2,0.8,0.2,0.4,0
Chimezie Metu,5,25,SAC,2.0,3.3,0.589,0.1,0.6,0.237,1.8,2.7,0.663,0.7,2.3,3.0,0.6,0.3,0.3,0
JaVale McGee,5,35,DAL,1.9,3.0,0.64,0.0,0.1,0.4,1.9,2.9,0.65,0.7,1.8,2.5,0.3,0.1,0.6,1
Jaren Jackson Jr.,5,23,MEM,6.6,13.0,0.506,1.6,4.5,0.355,5.0,8.6,0.585,1.7,5.0,6.8,1.0,1.0,3.0,0
Nikola Joki?,5,27,DEN,9.4,14.8,0.632,0.8,2.2,0.383,8.5,12.7,0.675,2.4,9.4,11.8,9.8,1.3,0.7,0
Damian Jones,5,27,TOT,1.3,2.1,0.64,0.2,0.4,0.588,1.1,1.7,0.652,1.0,2.0,3.0,0.4,0.2,0.5,0
Kai Jones,5,22,CHO,1.5,2.6,0.558,0.1,0.4,0.211,1.4,2.2,0.624,0.8,1.9,2.7,0.3,0.4,0.7,1
DeAndre Jordan,5,34,DEN,2.3,2.9,0.765,0.0,0.0,1.0,2.2,2.9,0.763,1.3,3.8,5.2,0.9,0.3,0.6,0
Frank Kaminsky,5,29,TOT,0.9,1.8,0.492,0.4,0.9,0.394,0.5,0.8,0.6,0.2,1.3,1.4,0.9,0.2,0.1,0
Walker Kessler,5,21,UTA,4.0,5.6,0.72,0.0,0.0,0.333,4.0,5.6,0.723,3.1,5.3,8.4,0.9,0.4,2.3,0
Maxi Kleber,5,31,DAL,2.1,4.6,0.456,1.1,3.0,0.348,1.0,1.5,0.667,0.8,2.8,3.6,1.4,0.3,0.8,0
Cody Zeller,5,30,MIA,2.5,3.9,0.627,0.0,0.1,0.0,2.5,3.8,0.649,1.7,2.6,4.3,0.7,0.2,0.3,1
Christian Koloko,5,22,TOR,1.2,2.6,0.48,0.0,0.2,0.083,1.2,2.4,0.514,1.4,1.5,2.9,0.5,0.4,1.0,0
Luke Kornet,5,27,BOS,1.6,2.5,0.665,0.0,0.2,0.231,1.6,2.3,0.701,1.2,1.6,2.9,0.8,0.2,0.7,0
Jock Landale,5,27,PHO,2.6,4.9,0.528,0.3,1.2,0.25,2.3,3.7,0.621,1.7,2.3,4.1,1.0,0.2,0.4,0
Alex Len,5,29,SAC,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.9,1.4,2.3,0.5,0.2,0.4,0
Meyers Leonard,5,30,MIL,1.6,3.2,0.483,0.8,2.0,0.389,0.8,1.2,0.636,1.3,2.4,3.8,0.1,0.2,0.0,0
Kevon Looney,5,26,GSW,3.0,4.7,0.63,0.0,0.0,0.0,3.0,4.7,0.632,3.3,5.9,9.3,2.5,0.6,0.6,1
Brook Lopez,5,34,MIL,6.1,11.5,0.531,1.7,4.7,0.374,4.4,6.9,0.637,2.0,4.7,6.7,1.3,0.5,2.5,0
Robin Lopez,5,34,CLE,1.3,2.0,0.64,0.1,0.1,0.5,1.2,1.9,0.648,0.6,0.8,1.4,0.5,0.1,0.2,1
Sandro Mamukelashvili,5,23,TOT,2.3,5.3,0.422,0.7,2.3,0.303,1.6,3.0,0.511,1.6,2.7,4.3,1.4,0.3,0.3,0
Boban Marjanovi?,5,34,HOU,1.3,1.9,0.683,0.0,0.0,0.0,1.3,1.9,0.695,0.6,1.3,1.9,0.3,0.2,0.1,0
Jericho Sims,5,24,NYK,1.6,2.1,0.776,0.0,0.0,0.0,1.6,2.0,0.783,1.9,2.8,4.7,0.5,0.3,0.5,1
Ivica Zubac,5,25,LAC,4.3,6.8,0.634,0.0,0.0,0.0,4.3,6.7,0.637,3.1,6.8,9.9,1.0,0.4,1.3,0
